4D-CT Data Output File

Angle,Between Volumes,Value (degrees)
0,0 and 0,0
1,0 and 1,0.426305
2,0 and 2,0.524353
3,0 and 3,0.942593
4,0 and 4,2.88977
5,0 and 5,3.06753
6,0 and 6,3.82685
7,0 and 7,4.46313
8,0 and 8,4.77834
9,0 and 9,5.72414
10,0 and 10,6.4052
11,0 and 11,7.13477
12,0 and 12,8.20261
13,0 and 13,9.1475
14,0 and 14,9.39457
15,0 and 15,10.5184
16,0 and 16,11.1262
17,0 and 17,11.5487
18,0 and 18,12.1994
19,0 and 19,12.6263
20,0 and 20,12.2547
21,0 and 21,13.6179
22,0 and 22,14.4481
23,0 and 23,13.4276
24,0 and 24,15.4682
25,0 and 25,16.398
26,0 and 26,16.7742
27,0 and 27,17.5007
28,0 and 28,18.7212
29,0 and 29,18.7118
30,0 and 30,19.3431
31,0 and 31,20.183
32,0 and 32,20.3962
33,0 and 33,21.363
34,0 and 34,21.7853
35,0 and 35,22.5244
36,0 and 36,23.2882
37,0 and 37,23.3658
38,0 and 38,24.1518
39,0 and 39,24.9096
40,0 and 40,25.5387
41,0 and 41,26.8299
42,0 and 42,27.1568
43,0 and 43,28.3306
44,0 and 44,30.1531
45,0 and 45,29.023
46,0 and 46,30.8446
47,0 and 47,31.8502
48,0 and 48,31.8026
49,0 and 49,33.5362
50,0 and 50,33.1037
51,0 and 51,33.3817
52,0 and 52,35.0459
53,0 and 53,34.9436
54,0 and 54,35.6144
55,0 and 55,36.8527
56,0 and 56,36.2267
57,0 and 57,40.0448
58,0 and 58,39.1864
59,0 and 59,40.2378
60,0 and 60,41.6291
61,0 and 61,40.7263
62,0 and 62,43.092
63,0 and 63,43.9995
64,0 and 64,43.7826
65,0 and 65,45.0912
66,0 and 66,45.2313
67,0 and 67,45.4324
68,0 and 68,46.6828
69,0 and 69,46.6266
70,0 and 70,47.0267
71,0 and 71,47.6331
72,0 and 72,47.5495
73,0 and 73,48.4784
74,0 and 74,48.4897
75,0 and 75,49.0162
76,0 and 76,52.1248
77,0 and 77,50.6608
78,0 and 78,50.7246
79,0 and 79,54.9289
