4D-CT Data Output File,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,
99.7751,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax
,0,0,53.0203,33.0645,37.422,0,0,0,25.5105,0,25.5105,52.9688,20.158,-7.18E-07,78.867,45.7579,37.5
,0,1,52.9245,33.514,37.1687,1,0,1,25.5105,1,25.6889,52.9678,20.4522,-7.18E-07,78.8676,46.0553,37.5
,0,2,52.7453,34.0686,36.9382,2,0,2,25.5105,2,25.8602,52.6769,21.0367,-1.52E-07,78.8692,46.641,37.5
,0,3,52.8569,34.7282,36.7468,3,0,3,25.5105,3,26.2711,52.9685,21.6215,7.66E-08,78.8674,47.5182,37.5
,0,4,52.8599,34.986,36.4609,4,0,4,25.5105,4,26.5646,52.6782,21.9134,6.32E-07,78.8672,48.1055,37.5
,0,5,52.7933,35.6744,36.2787,5,0,5,25.5105,5,26.6496,52.6792,22.4987,6.32E-07,78.8669,48.6919,37.5
,0,6,52.6305,35.8385,36.4576,6,0,6,25.5105,6,26.7787,52.6771,22.7939,-2.39E-07,78.8668,49.28,37.5
,0,7,52.5624,36.2276,36.4693,7,0,7,25.5105,7,26.9539,52.6748,23.3781,-1.27E-07,78.868,50.451,37.5
,0,8,52.6167,36.9484,36.3218,8,0,8,25.5105,8,27.0733,52.6799,23.6741,-7.19E-07,78.8666,51.0389,37.5
,0,9,52.5193,37.2183,36.0587,9,0,9,25.5105,9,27.0799,52.6798,23.9646,5.65E-09,78.8684,51.6251,37.5
,0,10,52.3918,37.4482,35.9,10,0,10,25.5105,10,26.978,52.6792,24.5422,3.52E-07,78.8676,52.2108,37.5
,0,11,52.3475,38.3775,36.0486,11,0,11,25.5105,11,27.0955,52.6839,25.128,-6.50E-07,78.8696,53.0912,37.5
,0,12,52.2822,38.3485,35.6347,12,0,12,25.5105,12,27.0296,52.6736,25.423,1.08E-08,78.8668,53.975,37.5
,0,13,52.1482,38.6048,35.9184,13,0,13,25.5105,13,27.061,52.6815,25.719,6.02E-07,78.8679,54.5581,37.5
,0,14,52.1035,38.9753,36.002,14,0,14,25.5105,14,27.0639,52.6754,26.0099,-6.16E-07,78.8676,55.1464,37.5
,0,15,51.9942,39.3025,35.9457,15,0,15,25.5105,15,27.1306,52.6794,26.3027,5.57E-07,78.868,56.318,37.5
,0,16,52.0143,39.7102,36.1483,16,0,16,25.5105,16,27.1474,52.6804,26.5894,7.72E-07,78.8667,57.1979,37.5
,0,17,52.0356,40.2946,36.0463,17,0,17,25.5105,17,27.1122,52.6773,26.8834,-4.86E-07,78.8688,57.7852,37.5
,0,18,51.9302,40.4886,36.1684,18,0,18,25.5105,18,27.0495,52.676,27.4684,-5.59E-07,78.8665,58.9565,37.5
,0,19,51.9706,40.8634,36.2667,19,0,19,25.5105,19,27.1217,52.6769,27.7602,4.53E-07,78.8672,60.1238,37.5
,0,20,51.9268,41.5999,35.5607,20,0,20,25.5105,20,27.2052,52.6756,28.0524,4.38E-07,78.8671,60.7171,37.5
,0,21,51.8891,41.8284,35.8861,21,0,21,25.5105,21,27.2593,52.675,28.344,-7.38E-07,78.8682,61.5976,37.5
,0,22,51.9294,42.0968,36.1084,22,0,22,25.5105,22,27.1778,52.3901,28.6367,4.15E-07,78.8666,62.4412,37.5
